course,crn,instructor,days,start_time,end_time
COMP 518,22483,"Mamouras, Konstantinos","Mon,Wed,Fri",10:00,10:50
COMP 521,20615,"Johnson, Dave","Tue,Thu",10:50,12:05
COMP 523,21659,"Goldman, Ron","Tue,Thu",13:00,14:15
COMP 529,22978,"Ng, T. S. Eugene","Tue,Thu",09:25,10:40
COMP 534,22975,"Mellor-Crummey, John","Tue,Thu",13:00,14:15
COMP 539,20614,"Stolboushkin, Alexei","Mon,Wed",16:00,17:15
COMP 541,20617,"Joyner, Mack","Tue,Thu",14:30,15:45
COMP 543,25840,"Koch, Simon Myers, Risa","Mon,Wed,Fri",10:00,10:50
COMP 546,22193,"Balakrishnan, Guha","Mon,Wed",16:00,17:15
COMP 549,21727,"Lan, Xinjie Shaw, Chad Barman, Arko","Mon,Wed",16:00,17:30
COMP 549,22980,"Lan, Xinjie","Tue,Thu",18:30,19:30
COMP 557,23122,"Subramanian, Devika","Tue,Thu",09:25,10:40
COMP 558,23186,"Patel, Tirthak","Tue,Thu",16:00,17:15
COMP 559,22449,"Lopes da Silva, Arlei","Tue,Thu",10:50,12:05
COMP 562,22977,"Hang, Kaiyu","Mon,Wed",16:00,17:15
COMP 568,25785,"Wang, Yuke","Wed,Fri",12:30,13:45
COMP 582,22455,"Chia, Nai-Hui","Tue,Thu",14:30,15:45
COMP 584,24695,"Chen, Hanjie","Mon,Wed",16:00,17:15
COMP 585,25951,"Aliakbarpour, Maryam","Tue,Thu",10:50,12:05
COMP 600,20132,"Volz, Tracy",Mon,12:00,12:50
